timestamp,bytes
1,1876684
2,15210
3,1809864
4,80136
5,1855224
6,34846
7,1752450
8,137592
9,1666224
10,225288
11,1728216
12,161784
13,1599696
14,290374
15,1505952
16,384048
17,1403136
18,488376
19,1327536
20,562464
21,477792
22,198072
23,421848
24,254016
25,362880
26,314496
27,335664
28,341712
29,270648
30,406728
31,222334
32,453600
33,344736
34,1410696
35,234360
36,1521114
37,130032
38,1626912
39,3024
40,1753920
41,0
42,1097712
43,10584
44,1102290
45,6048
46,1097712
47,10584
48,1094688
49,13608
50,964656
51,143640
52,970704
53,137592
54,926856
55,234360
56,884520
58,276696
59,886032
60,275184
61,866376
62,294840
63,795312
64,365974
65,46872
66,22680
67,40824
68,30240
69,30240
70,39312
71,25704
72,45402
73,15120
74,54432
75,7560
76,61992
77,0
78,66528
79,3024
80,59010
81,10584
82,890568
83,353808
84,840672
85,402192
86,775656
87,467208
88,690984
89,551880
90,334152
91,343224
92,338688
93,338688
94,371952
95,305424
96,343224
97,334152
98,329616
99,347760
100,394632
101,417312
102,323568
103,486864
104,344736
105,467208
106,373464
107,438522
108,24192
110,46872
111,16632
112,52920
113,7560
114,61992
115,1512
116,68040
117,0
118,69594
119,0
120,66528
121,3024
122,1138536
123,65016
124,1191456
125,10654
126,1192968
127,9072
128,1097712
129,105840
130,61992
131,7560
132,55944
133,13608
134,51408
135,19656
136,43848
137,25704
138,40824
139,28728
140,27216
141,42336
142,21168
143,48426
144,449064
145,1307880
146,488376
147,1267056
148,548856
149,1206576
150,426384
151,1329048
152,344736
153,1412208
154,219282
155,1536192
156,36288
157,505008
158,0
160,536760
161,4536
162,520128
163,21168
164,514080
165,27216
166,560952
167,114912
168,526176
169,149688
170,508032
171,167832
172,453600
173,222264
174,408240
175,267624
176,621432
177,539784
178,447552
179,713664
180,334194
181,827064
182,210168
183,951048
184,75600
185,601776
186,0
187,635040
188,42336
189,648648
190,25704
191,607824
192,69552
193,571578
194,105840
195,54432
196,15120
197,46872
198,24192
199,39312
200,31752
201,30240
202,40824
203,22680
204,48384
205,316008
206,1708560
207,167832
208,1856736
209,0
210,1947456
212,77112
213,1976184
214,49896
215,1883994
216,140616
217,1655640
218,370440
219,787752
220,320544
221,666792
222,441504
223,560952
224,547344
225,562464
226,545832
227,554904
228,553392
229,491442
230,616896
231,361368
232,450576
233,302400
234,509544
235,4536
236,6048
237,1512
238,595728
239,217728
240,6048
241,4536
242,441504
243,1448496
244,6048
245,6048
246,1512
247,1418256
248,476280
249,6048
250,3024
251,562464
252,1329160
253,6048
254,6048
255,0
256,993384
257,199584
258,6048
259,3024
260,443016
261,746928
262,6048
263,6048
264,0
265,61992
266,12096
267,6048
268,3024
269,30240
270,40824
271,6048
272,6048
273,0
274,769608
275,46872
276,6048
277,3024
278,391608
279,420336
280,6048
281,6048
282,0
283,807408
284,7560
285,6048
286,3024
287,1008504
288,884562
289,6048
290,4536
291,81648
292,1808352
293,6048
294,6048
295,1512
296,642600
297,494424
298,6048
299,4536
300,117936
301,1016064
302,6048
303,6048
304,1512
305,1130976
306,627480
307,6048
308,4536
309,323568
310,1431906
311,6048
312,6048
313,1512
314,1251936
315,506520
316,6048
317,4536
318,130032
319,411264
320,6048
321,6048
322,1512
323,417312
324,128520
325,6048
326,3024
327,238896
328,574560
329,6048
330,6048
331,0
332,668304
333,146706
334,6048
335,3024
336,290304
337,521640
338,6048
339,6048
340,0
341,477792
342,68040
343,6048
344,3024
345,219240
346,323568
347,6048
348,6048
349,0
350,498960
351,46872
352,6048
353,3024
354,30240
355,40866
356,6048
357,6048
358,0
359,66528
360,7560
361,6048
362,3024
363,34776
364,36288
365,6048
366,6048
367,1512
368,66528
369,6048
370,6048
371,3024
372,36288
373,36288
374,6048
375,4536
376,1512
377,68040
378,6090
379,6048
380,1512
381,36288
382,36288
383,6048
384,4536
385,3024
386,66528
387,6048
388,6048
389,1512
390,388584
391,290304
392,6048
393,4536
394,36288
395,639576
396,6048
397,6048
398,1512
399,624456
400,553434
401,6048
402,4536
403,1512
404,1173312
405,6048
406,6048
407,1512
408,571536
409,604800
410,6048
411,6048
412,0
413,1463616
414,25704
415,6048
416,3024
417,683424
418,802872
419,6048
420,6048
421,0
422,1440936
423,48426
424,6048
425,3024
426,542808
427,606312
428,6048
429,6048
430,0
431,1046304
432,105840
433,6048
434,3024
435,483840
436,665280
437,6048
438,6048
439,0
440,60480
441,13608
442,6048
443,3024
444,25704
445,45402
446,6048
447,6048
448,0
449,1268568
450,220752
451,6048
452,3024
453,432432
454,1053864
455,6048
456,6048
457,0
458,1108296
459,379512
460,6048
461,4536
462,264600
463,1220184
464,6048
465,6048
466,1512
467,362880
468,181482
469,6048
470,4536
471,95256
472,446040
473,6048
474,6048
475,1512
476,1126440
477,632016
478,6048
479,4536
480,172368
481,1583064
482,6048
483,6048
484,1512
485,1017576
486,740880
487,6048
488,4536
489,30240
490,1725234
491,6048
492,6048
493,1512
494,893592
495,864864
496,6048
497,4536
498,15120
499,1740312
500,6048
501,6048
502,1512
503,748440
504,1008504
505,6048
506,6048
507,0
508,1082662
509,164808
510,6048
511,3024
512,341712
513,902706
514,6048
515,6048
516,0
517,920808
519,325080
520,6048
521,4536
522,160272
523,515592
524,6048
525,6048
526,1512
527,439992
528,238896
529,6048
530,4536
531,74088
532,601776
533,6048
534,6048
535,1512
536,364392
537,314538
538,6048
539,4536
540,0
541,647136
542,33264
543,6048
544,3024
545,350784
546,462672
547,6048
548,6048
549,0
550,687960
551,128520
552,6048
553,3024
554,232848
555,579096
556,6048
557,6048
558,0
559,603330
560,210168
561,6048
562,4536
563,275184
564,954072
565,6048
566,6048
567,1512
568,793800
569,438480
570,6048
571,4536
572,99792
573,1129464
574,6048
575,6048
576,1512
577,671328
578,560952
579,6048
580,4536
581,0
582,635082
583,45360
584,6048
585,3024
586,231336
587,446040
588,6048
589,6048
590,0
591,495936
592,182952
593,6048
594,4536
595,403704
596,1620864
597,6048
598,6048
599,1512
600,1338120
601,689472
602,6048
603,4536
604,4536
605,65016
606,6090
607,6048
608,1512
609,28728
610,42336
611,6048
612,6048
613,0
614,61992
615,12096
616,6048
617,3024
618,370440
619,765072
620,6048
621,6048
622,0
623,893592
624,244944
625,6048
626,3024
627,255528
628,878472
629,6048
630,6048
631,1554
632,792288
633,371952
634,6048
635,4536
636,81648
637,1079568
638,6048
639,6048
640,1512
641,529200
642,701568
643,6048
644,6048
645,0
646,954072
647,279720
648,6048
649,3024
650,243432
651,1512000
652,6048
653,6048
654,1512
655,1031226
656,727272
657,6048
658,4536
659,46872
660,1047816
661,6048
662,6048
663,1512
664,455112
665,641088
666,6048
667,6048
668,0
669,430920
670,114912
671,6048
672,3024
673,133056
674,408240
675,6048
676,6048
677,1512
678,376488
679,167832
680,6090
681,4536
682,1512
683,66528
684,6048
685,6048
686,3024
687,28728
688,42336
689,6048
690,6048
691,0
692,57456
693,16632
694,6048
695,3024
696,368928
697,1386504
698,6048
699,6048
700,1512
701,957096
702,801360
703,6048
704,4578
705,0
706,1127952
707,37800
708,6048
709,3024
710,405216
711,757512
712,6048
713,6048
714,0
715,632016
716,182952
717,6048
718,3024
719,98280
720,712152
721,6048
722,6048
723,1512
724,368928
725,309960
726,6048
727,4536
728,0
729,506562
730,172368
731,6048
732,4536
733,130032
734,545832
735,6048
736,6048
737,1512
738,771120
739,488376
740,6048
741,4536
742,0
743,1217160
744,43848
745,6048
746,3024
747,255528
748,556416
749,6048
750,6048
751,0
752,491400
753,322098
754,6048
755,4536
756,16632
757,793800
758,6048
759,6048
760,1512
761,293328
762,518616
763,6048
764,6048
765,0
766,1147608
767,341712
768,6048
769,3024
770,130032
771,1354752
772,6048
773,6048
774,1512
775,842184
776,780192
777,6048
778,4578
779,0
780,1539216
781,84672
782,6048
783,3024
784,497448
785,1123416
786,6048
787,6048
788,0
789,1540728
790,488376
791,6048
792,3024
793,146664
794,1877904
795,6048
796,6048
797,1512
798,613872
799,1006992
800,6048
801,6048
802,0
803,1123458
804,498960
805,6048
806,4536
807,134568
808,1484784
809,6048
810,6048
811,1512
812,784728
813,836136
814,6048
815,6048
816,0
817,881496
818,284256
819,6048
820,3024
821,71064
822,1090152
823,6048
824,6048
825,1512
826,635040
827,1256514
828,6048
829,6048
830,0
831,1395576
832,497448
833,6048
834,4536
835,78624
836,462672
837,6048
838,6048
839,1512
840,288792
841,255528
842,6048
843,4536
844,0
845,1755432
846,273672
847,6048
848,3024
849,491400
850,1533168
851,6090
852,6048
853,1512
854,512568
855,300888
856,6048
857,4536
858,0
859,727272
860,87696
861,6048
862,3024
863,116424
864,1126440
865,6048
866,6048
867,1512
868,403704
869,840672
870,6048
871,6048
872,0
873,872424
874,373464
875,6048
876,4578
877,0
878,941976
879,157248
880,6048
881,3024
882,254016
883,840672
884,6048
885,6048
886,1512
887,1212624
888,814968
889,6048
890,4536
891,0
892,1897560
893,131544
894,6048
895,3024
896,597240
897,1428840
898,6048
899,6048
900,0
901,1127952
902,899640
903,6048
904,4536
905,0
906,648648
907,31752
908,6048
909,3024
910,117936
911,557928
912,6048
913,6048
914,1512
915,0
916,51408
917,21168
918,6048
919,4536
920,9072
921,60522
922,6048
923,6048
924,1512
925,12096
926,57456
927,6048
928,6048
929,1512
930,34776
931,36288
932,6048
933,6048
934,0
935,58968
936,15120
937,6048
938,3024
939,37800
940,503496
941,6048
942,6048
943,1512
944,175392
945,367416
946,6048
947,6048
948,0
949,279720
950,264600
951,6048
952,4536
953,0
954,1442448
955,181440
956,6048
957,3024
958,0
959,1593648
960,30240
961,6048
962,3024
963,347760
964,1271592
965,6048
966,6090
967,1512
968,706104
969,1185408
970,6048
971,6048
972,0
973,1034208
974,858816
975,6048
976,4536
977,0
978,1732752
979,161784
980,6048
981,3024
982,231336
983,1253448
984,6048
985,6048
986,1512
987,470232
988,1016064
989,6048
990,6048
991,0
992,458136
993,1028160
994,6048
995,6048
996,0
997,769608
998,718200
999,6048
1000,4536
1001,0
1002,1068984
1003,418824
1004,6048
1005,4536
1006,0
1007,1103760
1008,102816
1009,6048
1010,3024
1011,164808
1012,1037274
1013,6048
1014,6048
1015,1512
1016,430990
1017,772632
1018,6048
1019,6048
1020,0
1021,695520
1022,509544
1023,6048
1024,4536
1025,0
1026,1400112
1027,359856
1028,6048
1029,3024
1030,0
1031,1398600
1032,158760
1033,6048
1034,3024
1035,340200
1036,1549800
1037,6048
1038,6048
1039,1512
1040,1020600
1041,872424
1042,6048
1043,4536
1044,0
1045,1416744
1046,476280
1047,7560
1048,3024
1049,0
1050,1744848
1051,149688
1052,6048
1053,3024
1054,172368
1055,1446984
1056,6048
1057,6048
1058,1554
1059,675864
1060,946512
1061,6048
1062,6048
1063,0
1064,1028160
1065,594216
1066,6048
1067,4536
1068,0
1069,945000
1070,247968
1071,6048
1072,3024
1073,102816
1074,1085616
1075,6048
1076,6048
1077,1512
1078,219240
1079,969192
1080,6048
1081,6048
1082,1512
1083,662256
1084,1094688
1085,6048
1086,6048
1087,0
1088,1014552
1089,743904
1090,6048
1091,4536
1092,0
1093,1505952
1094,521640
