timestamp,bytes
1,1235432
2,7810
3,1241352
4,1512
5,1242864
6,112
7,1149120
8,93744
9,1134000
10,110376
11,1070496
12,172368
13,665350
14,145152
15,639576
16,170856
17,553392
18,258552
19,580608
20,231336
21,536760
22,275184
23,373464
24,302400
25,329616
26,346248
27,270648
28,406770
29,195118
30,480816
31,199584
32,477792
33,143640
34,532224
35,49896
36,491400
37,0
38,541296
39,0
40,527730
41,13608
42,498960
44,42336
45,473256
46,69552
47,438480
48,104328
49,1233792
50,385560
51,1188432
52,432432
53,1075032
54,545832
55,938952
56,680400
57,781746
58,837648
59,740880
60,879984
61,535248
62,1085686
63,335664
64,934416
65,297864
66,972216
67,222264
68,1047816
69,170856
70,1099224
71,40824
72,1229256
73,42
74,1161216
75,108864
76,1675296
77,349272
78,1592136
79,432432
80,1472688
81,551880
82,1327536
83,698544
84,1084104
85,940506
86,793800
87,825552
88,612360
89,1006992
90,556416
91,1062936
92,497448
93,1123416
94,294840
95,1326024
96,173880
97,1850688
98,0
99,2024568
100,0
101,1948968
102,75600
103,1800792
104,223776
105,1729728
106,294840
107,1640562
108,384048
109,1629936
110,394632
111,43848
112,27216
113,40824
114,28770
115,27216
116,42336
117,15120
118,54432
119,1512
120,68040
121,0
123,790776
124,19726
125,811944
126,0
127,804384
128,7560
129,789264
130,21168
131,470232
132,71064
133,374976
134,166320
135,361368
136,181440
137,337176
138,204120
139,675864
140,594216
141,527730
142,742392
143,517146
144,752976
145,526176
146,743904
147,576072
148,1043280
149,567000
150,1052352
151,476280
152,1143072
153,379512
154,1239840
155,266112
156,842184
157,217728
158,890568
159,232848
160,875448
161,154224
162,954072
163,0
164,1100736
165,7560
166,467208
167,75600
168,438480
169,104328
170,374976
171,167874
172,272160
173,269136
175,272202
176,269136
177,898128
178,1126440
179,825552
180,1199016
181,814968
182,1209600
183,625968
184,1398600
185,142128
186,535248
187,54432
188,621432
189,0
190,672840
191,3024
192,541296
193,136080
194,536760
195,140616
196,1197504
197,421848
198,1132488
199,486864
200,1085616
201,533778
202,1006992
203,612360
204,914760
205,706104
206,904176
207,851256
208,703080
209,1052352
210,672882
211,1082592
212,563976
213,1192968
214,133056
215,542808
216,6048
217,6048
218,1512
219,376488
220,302400
221,6048
222,4536
223,28728
224,647136
225,6048
226,6048
227,1512
228,845208
229,642642
230,6048
231,4536
232,151200
233,1333584
234,6048
235,6048
236,1512
237,955584
238,532224
239,6048
240,4536
241,287280
242,1333654
243,6048
244,6048
245,1512
246,1176336
247,446040
248,6048
249,4536
250,446040
251,1176336
252,6048
253,6090
254,0
255,988848
256,244944
257,6048
258,3024
259,387072
260,843696
261,6048
262,6048
263,0
264,1022112
265,211680
266,6048
267,3024
268,408240
269,754488
270,6048
271,6048
272,0
273,1023624
274,142128
275,6048
276,3024
277,618408
278,867930
279,6048
280,6048
281,0
282,1404648
283,84672
284,6048
285,3024
286,319032
287,358344
288,6048
289,6048
290,0
291,668304
292,12096
293,6048
294,3024
295,355320
296,323568
297,6048
298,4536
299,18144
300,657720
301,6048
302,6090
303,1512
304,368928
305,309960
306,6048
307,4536
308,52920
309,622944
310,6048
311,6048
312,1512
313,1067472
314,690984
315,6048
316,4536
317,222264
318,1533168
319,6048
320,6048
321,1512
322,1043280
323,579096
324,6048
325,4536
326,244944
327,1374450
328,6048
329,6048
330,1512
331,1081080
332,541296
333,6048
334,4536
335,202608
336,972216
337,6048
338,6048
339,1512
340,813456
341,364392
342,6048
343,4536
344,241920
345,932904
346,6048
347,6048
348,1512
349,589680
350,223776
351,6090
352,4536
353,166320
354,644112
355,6048
356,6048
357,1512
358,46872
359,25704
360,6048
361,4536
362,15120
363,54432
364,6048
365,6048
366,1512
367,49896
368,22680
369,6048
370,4536
371,15120
372,54432
373,6048
374,6048
375,1512
376,48426
377,24192
378,6048
379,4536
380,15120
381,54432
382,6048
383,6048
384,1512
385,364392
386,179928
387,6048
388,4536
389,101304
390,439992
391,6048
392,6048
393,1512
394,361368
395,182952
396,6048
397,4536
398,93744
399,447552
400,6090
401,6048
402,1512
403,365904
404,178416
405,6048
406,4536
407,140616
408,1020600
409,6048
410,6048
411,1512
412,712152
413,452088
414,6048
415,4536
416,104328
418,1056888
419,6048
420,6048
421,1512
422,618408
423,545832
424,6048
425,4536
426,1554
427,68040
428,6048
429,6048
430,1512
431,34776
432,37800
433,6048
434,4536
435,0
436,65016
437,9072
438,6048
439,3024
440,28728
441,42336
442,6048
443,6048
444,0
445,449064
446,96768
