timestamp,bytes
1,403922
2,415132
3,416592
4,415998
5,414486
6,414556
7,416040
8,415998
9,414486
10,415998
11,415998
12,414486
13,417510
14,415998
15,414486
16,414556
17,415998
18,415998
19,415998
20,414486
21,415998
22,415998
23,414486
24,415998
25,415998
26,414486
27,414486
28,415998
29,415998
30,414486
31,414486
32,416068
33,414486
34,415998
35,414486
36,415998
37,415998
38,414486
39,414486
40,415998
41,416040
42,412974
43,415998
44,415998
45,414486
46,415998
47,415998
48,415998
49,414486
50,415998
51,414486
52,414486
53,414486
54,415998
55,415998
56,414486
57,414486
58,416040
59,415998
60,412974
61,551880
62,703080
63,713664
64,710640
65,712152
66,712152
67,712152
68,712222
69,709128
70,713664
71,712152
72,710640
73,713664
74,710640
75,713664
76,709128
77,712152
78,712152
79,712152
80,712152
81,712152
82,712194
83,712152
84,710640
85,712152
86,710640
87,712152
88,712152
89,710640
90,712152
91,713664
92,710640
93,712152
94,710640
95,713664
96,710640
97,712152
98,713664
99,710640
100,712152
101,712152
102,710640
103,712152
104,712152
105,712152
106,712152
107,710640
108,713664
109,712152
110,709128
111,710640
112,715176
113,710640
114,712152
115,710640
116,713664
117,710640
118,712152
119,710640
120,715176
121,710640
122,710640
123,712194
124,713664
125,964656
126,837648
127,687960
128,674352
129,674352
130,1070496
131,1094688
132,957096
133,945000
134,943488
135,1341144
136,1368360
137,1226232
138,1214206
139,1212624
140,1610280
141,1634472
142,1495368
143,1483272
144,1483272
145,1877904
146,1903608
147,1766016
148,1752408
149,1753920
150,2150064
151,2174256
152,2032128
153,2023056
154,2023056
155,2227176
156,2647512
157,2567376
158,2570400
159,2559816
160,2556792
161,2558304
162,2558304
163,2558346
164,2590056
165,2697408
166,2606688
167,2573424
168,2558304
169,2558304
170,2558304
171,2558304
172,2558304
173,2562840
174,2698920
175,2627856
176,2570400
177,2564352
178,2559816
179,2556792
180,2558304
181,2559816
182,2556792
183,2679264
184,2650536
185,2571912
186,2565864
187,2558304
188,2559816
189,2556792
190,2556792
191,2559816
192,2652048
193,2673216
194,2574936
195,2567376
196,2556792
197,2559816
198,2556792
199,2559816
200,2556792
201,2627856
202,2697408
203,2573424
204,2568930
205,2556792
206,2559816
207,2558304
208,2555280
209,2561328
210,2596104
211,2704968
212,2594592
213,2571912
214,2556792
215,2556792
216,2558304
217,2559816
218,2556792
219,2576448
220,2698920
221,2617272
222,2573424
223,2559816
224,2558304
225,2558304
226,2558304
227,2555280
228,2559816
229,2692872
230,2639952
231,2573424
232,2559816
233,2562840
234,2556792
235,2556792
236,2559816
237,2526552
238,2662632
239,2664144
240,2571912
