timestamp,bytes
33265,44156
1,69770
33266,68290
2,66778
33267,33858
3,9666
33268,0
4,0
33269,37800
5,63504
33270,66598
6,66598
33271,39708
7,14004
33272,42
8,42
33273,31752
9,57456
33274,68040
10,66528
33275,44244
11,20052
33276,0
12,0
33277,952560
13,1964088
33278,2697478
14,2697478
33279,1759446
15,747918
33280,946512
16,1958040
33281,2697408
17,2697408
33282,1765296
18,753768
33283,940464
19,1951992
33284,2697408
20,2697408
33285,1771146
21,759618
33286,25704
22,51408
33287,68040
23,66528
33288,50292
24,26100
33289,0
25,0
33290,19656
26,45360
33291,68040
27,68040
33292,59760
28,34056
33293,0
29,0
33294,13608
30,39382
33295,68110
31,68040
33296,65808
32,40104
33297,0
33,0
33298,9072
34,33264
33299,66528
35,68040
33300,68040
36,42732
33301,396
37,0
33302,1512
38,28728
33303,68040
39,66570
33304,68082
40,48780
33305,6444
41,0
33306,0
42,802872
33307,2488752
43,2697408
33308,2697408
44,1907820
33309,221940
45,22680
33310,65016
46,66528
33311,66528
47,54828
33312,12492
48,0
33313,0
49,16632
33314,58968
50,66528
33315,66528
51,62586
33316,20250
52,42
33317,42
53,319032
33318,2004912
54,2697408
33319,2697408
55,2391264
33320,705384
56,163296
33321,1022112
57,1374408
33322,1375920
58,1224000
33323,363672
59,0
33324,0
60,83160
33325,858816
61,1241352
33326,1239840
62,1167462
33327,393912
63,594
33328,0
64,18144
33329,810432
65,1267056
33330,1268568
66,1254960
33331,468000
67,6910
33332,70
68,0
33333,836136
69,1371384
33334,1430352
70,1430352
33335,604080
71,68832
33336,0
72,0
33337,802872
73,1368360
33338,1510488
74,1510488
33339,718992
75,153504
33340,0
76,0
33341,706104
77,1262520
33342,1483272
78,1483272
33343,788544
79,232128
33344,0
80,0
33345,577584
81,1088640
33346,1362354
82,1360842
33347,796104
83,286560
33348,0
84,0
33349,592704
85,1192968
33350,1604232
86,1604232
33351,1022706
87,422442
33352,0
88,0
33353,453600
89,988848
33354,1428840
90,1428840
33355,986418
91,451170
33356,0
92,0
33357,396144
93,957096
33358,1496880
94,1495368
33359,1112112
95,552672
33360,0
96,0
33361,249480
97,694008
33362,1186920
98,1186920
33363,948816
99,504288
33364,42
100,42
33365,232848
101,789264
33366,1483272
102,1483272
33367,1260090
103,703674
33368,0
104,0
33369,131544
105,595728
33370,1241352
106,1241352
33371,1119672
107,655488
33372,0
108,0
33373,84672
109,669816
33374,1564920
110,1564920
33375,1489320
111,904968
33376,792
112,0
33377,0
113,520128
33378,1391040
114,1389528
33379,1388016
115,879264
33380,9864
116,0
33381,0
117,391608
33382,1152144
118,1214136
33383,1214136
119,832392
33384,71856
120,0
33385,0
121,430920
33386,1427328
122,1592178
33387,1592178
123,1171080
33388,174672
124,0
33389,0
125,290304
33390,1150632
126,1375920
33391,1375920
127,1095480
33392,235152
128,0
33393,0
129,241920
33394,1195992
130,1524096
33395,1524096
131,1293552
33396,339480
132,0
33397,0
133,160272
33398,1156680
134,1590624
33399,1590624
135,1443240
33400,446832
136,0
33401,70
137,63574
33402,883008
138,1307880
33403,1307880
139,1253448
33404,436248
140,2304
33405,0
141,0
33406,730296
142,1173312
33407,1186920
143,1186920
33408,468000
144,24984
33409,0
145,0
33410,866376
146,1440936
33411,1537704
147,1537704
33412,681192
148,106632
33413,42
149,42
33414,556416
150,964656
33415,1091664
151,1091664
33416,546426
152,138186
33417,0
153,0
33418,621432
154,1130976
33419,1362312
155,1360800
33420,752256
156,244224
33421,0
157,0
33422,544320
